Dahili Uydu Alıcı,Ekran Boyutu,Enerji Sınıfı,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,Görüntüleme Teknolojisi,HDR,Kurulum Gerekli mi?,Model Yılı,Renk,Smart TV,Wi-Fi,Çözünürlük (Piksel),url,price
Var,"43"" / 109 Ekran",F,2 Yıl,Resmi Distribütör Garantili,Full HD,LED,Yok,Evet,2021,Siyah,Var,Var,1920 x 1080,https://www.trendyol.com/saba/sb43250-43-109-ekran-uydu-alicili-full-hd-android-smart-led-tv-p-175106221,"3.647,04 TL"
Var,"50"" / 127 Ekran",,2 Yıl,Philips TR Garantili,4K Ultra HD,,,Evet,,Gümüş,Var,Var,,https://www.trendyol.com/philips/50pus8506-50-126-ekran-uydu-alicili-4k-ultra-hd-android-smart-led-tv-p-159281235,"9.210,24 TL"
Var,"55"" / 139 Ekran",,,Vestel Garantili,4K Ultra HD,LED,Var,Evet,,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/vestel/55u9600-55-139-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-128926636,"7.197,12 TL"
Var,"55"" / 139 Ekran",A,2 Yıl,Philips TR Garantili,4K Ultra HD,LED,Var,Evet,2020,Gri,Var,Var,3840 x 2160,https://www.trendyol.com/philips/55pus7805-55-139-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-44924777,9.168 TL
Var,"58"" / 147 Ekran",A,3 Yıl,Vestel Garantili,4K Ultra HD,LED,Var,Evet,2019,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/vestel/58u9500-58-147-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-34578692,"7.727,04 TL"
Var,"50"" / 127 Ekran",A,3 Yıl,Vestel Garantili,4K Ultra HD,LED,Var,Evet,2019,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/vestel/50u9500-50-127-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-33653727,6.249 TL
Var,"40"" / 101 Ekran",A+,2 Yıl,Resmi Distribütör Garantili,Full HD,LED,Yok,Evet,2020,Siyah,Yok,Yok,1920 x 1080,https://www.trendyol.com/next/ye-40020kt-40-101-ekran-uydu-alicili-full-hd-led-tv-p-51334467,"2.990,40 TL"
Var,"50"" / 127 Ekran",,2 Yıl,Philips TR Garantili,4K Ultra HD,,,Evet,,Gri,Var,Var,,https://www.trendyol.com/philips/50pus7906-50-126-ekran-uydu-alicili-4k-ultra-hd-android-smart-led-tv-p-159269563,"8.251,20 TL"
Var,"70"" / 178 Ekran",,,,4K Ultra HD,,,Evet,,Siyah,Var,Var,,https://www.trendyol.com/vestel/70u9600-70-178-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-201235390,"10.194,24 TL"
Var,"43"" / 109 Ekran",G,2 Yıl,Resmi Distribütör Garantili,4K Ultra HD,LED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/samsung/43au8000-43-108-ekran-uydu-alicili-crystal-4k-ultra-hd-smart-led-tv-p-127697014,"7.221,12 TL"
Var,"40"" / 101 Ekran",A,2 Yıl,Samsung TR Garantili,Full HD,LED,Yok,Hayır,2020,Siyah,Var,Var,1920 x 1080,https://www.trendyol.com/samsung/40t5300-40-101-ekran-uydu-alicili-full-hd-smart-led-tv-p-40959827,"5.471,04 TL"
Var,"32"" / 81 Ekran",A+,3 Yıl,Vestel Garantili,HD Ready,LED,Yok,Hayır,2020,Siyah,Yok,Yok,1366 x 768,https://www.trendyol.com/regal/32r604h-32-80-ekran-uydu-alicili-hd-ready-led-tv-p-50048864,"2.263,68 TL"
Var,"39"" / 99 Ekran",A,2 Yıl,Resmi Distribütör Garantili,HD Ready,LED,Var,Hayır,2020,Siyah,Var,Var,1366 x 768,https://www.trendyol.com/onvo/ov39150-39-99-ekran-uydu-alicili-hd-ready-smart-led-tv-p-51683535,"3.297,03 TL"
Var,"55"" / 139 Ekran",G,2 Yıl,LG TR Garantili,4K Ultra HD,LED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/lg/55nano756pa-55-139-ekran-uydu-alicili-4k-ultra-hd-smart-nanocell-led-tv-p-122046675,"11.361,60 TL"
Var,"55"" / 139 Ekran",G,2 Yıl,Resmi Distribütör Garantili,4K Ultra HD,LED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/samsung/55au8000-55-139-ekran-uydu-alicili-crystal-4k-ultra-hd-smart-led-tv-p-127735265,"10.933,44 TL"
Var,"32"" / 81 Ekran",,3 Yıl,Resmi Distribütör Garantili,HD Ready,LED,,Evet,,Siyah,Yok,Yok,1366 x 768,https://www.trendyol.com/vestel/32h8401-32-81-ekran-uydu-alicili-hd-ready-led-tv-p-205424633,"2.639,04 TL"
Yok,"32"" / 81 Ekran",,2 Yıl,Resmi Distribütör Garantili,HD Ready,LED,Yok,Hayır,2021,Siyah,Var,Var,1366 x 768,https://www.trendyol.com/onvo/ov32f152-32-81-ekran-uydu-alicili-hd-ready-smart-led-tv-p-97913417,"2.956,80 TL"
Var,"43"" / 109 Ekran",G,2 Yıl,Samsung TR Garantili,4K Ultra HD,LED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/samsung/43au7000-43-109-ekran-uydu-alicili-crystal-4k-ultra-hd-smart-led-tv-p-132828743,"7.007,04 TL"
Var,"50"" / 127 Ekran",A+,3 Yıl,Vestel Garantili,4K Ultra HD,DLED,Var,Evet,2020,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/vestel/50ua9600-50-127-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-51682980,"6.939,84 TL"
Var,"65"" / 165 Ekran",G,2 Yıl,Samsung TR Garantili,4K Ultra HD,QLED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/samsung/65q67a-65-165-ekran-uydu-alicili-4k-ultra-hd-smart-qled-tv-p-132828736,"16.223,04 TL"
Var,"43"" / 109 Ekran",G,2 Yıl,LG TR Garantili,4K Ultra HD,LED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/lg/43nano756pa-43-109-ekran-uydu-alicili-4k-ultra-hd-nanocell-smart-led-tv-p-131445628,"7.791,38 TL"
Var,"50"" / 127 Ekran",,,Vestel Garantili,4K Ultra HD,LED,Var,Evet,,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/vestel/50u9600-50-127-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-126925398,"6.507,84 TL"
Var,"50"" / 127 Ekran",G,2 Yıl,Samsung TR Garantili,4K Ultra HD,QLED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/samsung/50q60a-50-125-ekran-uydu-alicili-4k-ultra-hd-smart-qled-tv-p-132120014,"10.298,88 TL"
Var,"43"" / 109 Ekran",A,2 Yıl,Resmi Distribütör Garantili,Full HD,LED,Yok,Evet,2020,Siyah,Var,Var,1920 x 1080,https://www.trendyol.com/nordmende/nm43250-43-109-ekran-uydu-alicili-full-hd-smart-led-tv-p-61604876,"3.572,16 TL"
Var,"55"" / 139 Ekran",,2 Yıl,LG TR Garantili,4K Ultra HD,OLED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/lg/oled55c14-55-139-ekran-uydu-alicili-4k-ultra-hd-smart-oled-tv-p-113480717,"18.143,04 TL"
Var,"50"" / 127 Ekran",G,2 Yıl,Resmi Distribütör Garantili,4K Ultra HD,LED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/samsung/50au8000-50-125-ekran-uydu-alicili-crystal-4k-ultra-hd-smart-led-tv-p-127695551,"9.029,76 TL"
Var,"55"" / 139 Ekran",,2 Yıl,Sunny Garantili,4K Ultra HD,LED,Var,Evet,2020,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/sunny/sn55ual402-55-139-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-75510328,"5.999,04 TL"
Var,"32"" / 81 Ekran",F,2 Yıl,Vestel Garantili,HD Ready,LED,Yok,Hayır,2020,Siyah,Var,Var,1366 x 768,https://www.trendyol.com/vestel/32h9510-32-81-ekran-uydu-alicili-hd-ready-smart-led-tv-p-77427702,"3.036,48 TL"
Var,"65"" / 165 Ekran",G,2 Yıl,Samsung TR Garantili,4K Ultra HD,LED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/samsung/65au7000-65-165-ekran-uydu-alicili-crystal-4k-ultra-hd-smart-led-tv-p-131803742,"13.083,84 TL"
Var,"32"" / 81 Ekran",A+,2 Yıl,Philips TR Garantili,Full HD,LED,Var,Hayır,2020,Siyah,Var,Var,1920 x 1080,https://www.trendyol.com/philips/32pfs6805-32-80-ekran-uydu-alicili-full-hd-smart-led-tv-p-57699025,"3.596,60 TL"
Var,"49"" / 124 Ekran",G,2 Yıl,Sunny Garantili,Full HD,LED,Var,Evet,2016,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/axen/ax49fil27-49-124-ekran-uydu-alicili-full-hd-smart-led-tv-p-89219026,"4.748,16 TL"
Var,"43"" / 109 Ekran",,3 Yıl,Vestel Garantili,Full HD,LED,Var,Evet,,Siyah,Var,Var,1920 x 1080,https://www.trendyol.com/toshiba/43l2163dt-43-109-ekran-uydu-alicili-full-hd-smart-led-tv-p-162460341,5.184 TL
Var,"58"" / 147 Ekran",A,2 Yıl,Philips TR Garantili,4K Ultra HD,LED,Var,Evet,2020,Gri,Var,Var,3840 x 2160,https://www.trendyol.com/philips/58pus8505-58-147-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-44924768,"11.019,05 TL"
Var,"50"" / 127 Ekran",G,2 Yıl,LG TR Garantili,4K Ultra HD,LED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/lg/50up77006-50-127-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-131078970,"8.799,36 TL"
Var,"55"" / 139 Ekran",G,2 Yıl,Samsung TR Garantili,4K Ultra HD,QLED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/samsung/55q67a-55-139-ekran-uydu-alicili-4k-ultra-hd-smart-qled-tv-p-132828750,"11.974,08 TL"
Var,"50"" / 127 Ekran",C,2 Yıl,LG TR Garantili,4K Ultra HD,LED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/lg/50up75006-50-127-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-146983530,"8.351,04 TL"
Var,"50"" / 127 Ekran",A++,2 Yıl,Samsung TR Garantili,4K Ultra HD,LED,Var,Evet,2020,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/samsung/50tu7000-50-125-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-41642762,"8.496,73 TL"
Var,"83"" / 210 Ekran",G,2 Yıl,Sony Eurasia Garantili,4K Ultra HD,OLED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/sony/xr-83a90j-83-210-ekran-uydu-alici-4k-ultra-hd-smart-oled-tv-p-183330810,"109.439,04 TL"
Var,"65"" / 165 Ekran",A++,2 Yıl,İthalatçı Garantili,4K Ultra HD,DLED,Var,Hayır,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/redline/65-inch-4k-ultra-hd-android-tv-p-178592626,15.000 TL
Var,"43"" / 109 Ekran",A+,2 Yıl,Philips TR Garantili,Full HD,LED,Var,Hayır,2020,Siyah,Var,Var,1920 x 1080,https://www.trendyol.com/philips/43pfs6805-43-109-ekran-uydu-alicili-full-hd-smart-led-tv-p-51680071,"5.131,20 TL"
Var,"50"" / 127 Ekran",G,2 Yıl,Samsung TR Garantili,4K Ultra HD,LED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/samsung/50au9000-50-127-ekran-uydu-alicili-crystal-4k-ultra-hd-smart-led-tv-p-132828744,9.499 TL
Var,"43"" / 109 Ekran",A,3 Yıl,Vestel Garantili,4K Ultra HD,LED,Var,Evet,2019,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/vestel/43u9500-43-109-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-34474228,"5.307,98 TL"
Var,"24"" / 61 Ekran",,2 Yıl,Resmi Distribütör Garantili,HD Ready,LED,Var,Hayır,2020,Siyah,Yok,Yok,1366 x 768,https://www.trendyol.com/onvo/ov24100-24-61-ekran-uydu-alicili-hd-ready-led-tv-p-59356268,"1.802,26 TL"
Var,"75"" / 190 Ekran",C,2 Yıl,LG TR Garantili,4K Ultra HD,LED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/lg/75up75006-75-190-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-113480121,"15.531,84 TL"
Var,"58"" / 147 Ekran",A+,3 Yıl,Vestel Garantili,4K Ultra HD,DLED,Var,Evet,2020,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/vestel/58ua9600-58-147-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-51693123,"8.351,04 TL"
Var,"55"" / 139 Ekran",G,2 Yıl,LG TR Garantili,4K Ultra HD,LED,Var,Evet,2021,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/lg/55nano916pa-55-139-ekran-uydu-alicili-4k-ultra-hd-smart-nanocell-led-tv-p-113179104,"13.919,04 TL"
Var,"55"" / 139 Ekran",A+,2 Yıl,Sunny Garantili,4K Ultra HD,LED,Var,Evet,2020,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/hi-level/hl55ual402-55-139-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-69547273,"5.909,24 TL"
Var,"24"" / 61 Ekran",A,2 Yıl,Resmi Distribütör Garantili,Full HD,LED,Yok,Hayır,2020,Siyah,Yok,Yok,1920 x 1080,https://www.trendyol.com/telenova/24d4001-24-61-ekran-uydu-alicili-full-hd-led-tv-p-34854986,"1.775,04 TL"
Var,"50"" / 127 Ekran",A,2 Yıl,Resmi Distribütör Garantili,4K Ultra HD,LED,Var,Evet,2020,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/onvo/ov50350-50-127-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-51157968,5.184 TL
Var,"50"" / 127 Ekran",A,2 Yıl,Awox Garantili,4K Ultra HD,LED,Yok,Evet,2019,Siyah,Var,Var,3840 x 2160,https://www.trendyol.com/awox/u5100str-50-127-ekran-uydu-alicili-4k-ultra-hd-smart-led-tv-p-6938227,"5.140,03 TL"
Var,"85"" / 215 Ekran",G,2 Yıl,Samsung TR Garantili,8K Ultra HD,QLED,Var,Evet,2021,Siyah,Var,Var,7680 x 4320,https://www.trendyol.com/samsung/85qn900-85-215-ekran-uydu-alicili-8k-ultra-hd-smart-neo-qled-tv-p-132828765,102.720 TL
